county,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117
1,21.1035,72.98466667,1.154147333,18.420057,29.43576667,37.60166667,4.891686667,17.16526667,30.79266667,30.12496667,1.328483333,5.893066667,39.02233333,46.10233333,0.423006667,5.394966333,33.79133333,27.86466667,0.599411667,3.403833333,45.13366667,38.12226667,0.3915309,16.21231667,44.854,60.24533333,6.0901,9.252033333,45.58966667,46.06766667,0.68596,13.58170233,37.236,36.98733333,0.738316667,44.83353333,21.27496667,43.21733333,5.80862,1.443386667,52.53633333,56.50966667,1.436116667,8.378283333,20.55466667,43.35666667,3.173862,9.75973,30.99036667,52.34166667,2.617866667,9.1552,9.753566667,3.33038,3.550666667,0.497236667,37.25733333,19.41173333,6.407853333,8.991,29,53.45566667,0.327106667,13.03689467,36.77633333,41.21933333,0.427546333,8.736083333,36.91066667,48.773,2.697273333,19.86463,36.64633333,43.82033333,1.12642,9.65571,62.85333333,32.52333333,0.513963333,17.89910333,32.88266667,60.471,3.109433333,7.60949,34.273,10.8485,0.854336667,23.63886667,32.791,43.81733333,3.911361667,24.16293333,23.01733333,35.53,2.543733333,6.615533333,25.44293333,47.39333333,1.000533333,26.3942,29.11133333,32.43633333,1.447313333,27.16078,33.368,35.24133333,0.231935333,21.60518367,27.21933333,44.779,1.55479,23.11452056,38.171,33.601,2.094683333,31.14823333
2,19.54576667,64.78333333,0.806413,16.76652833,23.7446,32.83,4.504916667,18.76704667,28.35933333,28.58066667,1.34229,4.55692,37.84633333,36.77566667,0.736396667,4.353935667,33.95433333,25.30633333,0.341538,3.196146667,42.193,37.49716667,0.600507667,10.962795,38.14966667,60.74033333,5.064533333,6.146253667,40.76633333,41.83833333,0.63539,12.3132,36.01433333,34.41,0.555121667,39.80956333,18.90573333,38.22133333,5.450076667,1.222033333,47.35633333,60.946,1.336926667,7.068,19.8592,34.25466667,2.745388733,8.834413333,31.97873333,44.939,2.1554,8.148166667,9.8922,2.89925,2.73152,0.271536667,36.30733333,16.50426667,6.114633333,8.7827,25.629,47.72833333,0.322306667,11.946013,33.72166667,42.93466667,0.249231333,8.37257,33.407,42.56233333,2.994863333,17.15294,34.57933333,38.07833333,1.00153,10.59419,54.27866667,27.16333333,0.380513,16.67192333,32.434,59.73533333,2.712033333,6.194103333,31.304,8.476666667,0.657183333,19.5285,30.686,40.673,2.722034667,21.1915,19.714,32.41566667,0.698193333,6.086536667,26.98103333,45.58,1.52204,29.29013333,28.54666667,29.12966667,0.830783333,26.83807667,26.767,27.076,0.377946667,21.07630517,25.493,37.47666667,1.325886667,18.266205,32.142,28.87733333,1.600503333,29.79103333
3,22.88866667,74.793,1.466023333,24.12856367,32.06466667,43.143,5.673903333,24.7524,37.324,35.19073333,2.7923,7.03033,40.763,48.245,1.025336667,6.609910667,41.693,30.14866667,0.639306333,4.264733333,52.052,45.66933333,0.800095,13.2081,44.18266667,73.291,7.072533333,8.241223333,40.37566667,48.877,0.97017,19.94164833,43.13833333,44.799,1.16024,52.82813333,20.9144,46.762,7.122966667,2.9929,54.556,72.83733333,2.0433,8.924943333,24.44466667,42.487,4.448336,11.03890667,39.03533333,59.93266667,2.959233333,11.81376667,11.32243333,4.550343333,4.353,0.422126667,37.299,19.84346667,8.347766667,16.43686667,34.27,57.77066667,0.530363333,14.18258933,40.44933333,55.48033333,0.306036667,11.99489,39.269,54.118,3.80827,21.67171,41.539,51.63933333,2.196,14.05805333,57.209,37.94533333,0.58065,23.14644,40.79666667,72.19333333,3.151066667,7.504053333,33.96,11.0351,1.09003,26.0194,35.335,41.059,3.566047,27.63366667,28.74866667,42.00966667,1.6487,8.258623333,32.40123333,53.49466667,2.26371,43.02043333,37.10766667,34.93433333,1.633933333,29.07741667,36.176,34.385,0.393696667,24.46515433,26.65733333,38.09933333,1.416233333,24.89012567,39.18366667,36.66433333,2.687833333,31.7046
4,26.06766667,80.952,1.02401,21.27667222,32.20403333,37.72166667,5.464166667,12.68325333,35.831,29.76736667,1.19653,10.69559667,47.53933333,45.51233333,0.19486,9.349827667,35.41833333,36.74163333,0.542078,4.865005557,45.66933333,35.569,0.457072333,11.46419667,54.56166667,47.44833333,3.576623333,9.407832333,54.427,56.90333333,0.745843333,15.75974333,44.63233333,30.62633333,0.13736,58.65983333,22.38576667,39.36333333,3.937416667,1.393723333,50.37933333,52.02133333,1.217926667,4.855966667,24.10796667,49.37066667,1.965833333,9.920556667,37.02223333,50.951,1.9997,6.719833333,6.803066667,1.489166667,4.211066667,0.739296667,41.65666667,18.35476667,5.979886667,6.404366667,37.702,52.94233333,0.213473333,12.10851667,43.54366667,44.67023333,0.272776667,7.467911,53.81333333,43.77866667,1.27085,16.93168333,39.67566667,44.44766667,0.991113333,9.321689,81.49033333,25.63266667,0.48125,20.10927667,36.79933333,53.457,2.69971,11.45779433,37.571,10.11496667,0.647366667,20.37626667,33.462,45.21766667,3.554804333,22.8051,25.954,31.153,2.335722233,6.625666667,26.1805,38.37766667,0.576806667,23.73124667,31.84633333,31.18936667,2.066833333,28.84719333,42.69,31.85033333,0.107916667,20.6182,26.63166667,48.874,2.067473333,24.4378611,47.197,35.22166667,7.670906667,32.81166667
5,21.86866667,81.557,1.570333333,16.27266667,18.74483333,30.70033333,8.560833333,17.86883333,27.838,25.99216667,1.771166667,4.586666667,43.28333333,37.94766667,0.814833333,6.768833333,34.78566667,28.74366667,0.840166667,3.739,37.14433333,36.74366667,0.748666667,13.40916667,32.24033333,59.511,4.2945,4.140666667,43.76,44.871,0.813833333,11.46983333,33.03366667,32.62666667,0.815333333,31.57616667,19.2785,39.98366667,6.692666667,1.252833333,44.79633333,57.37866667,2.78,4.895333333,19.50683333,34.36266667,4.186833333,9.242,32.35966667,35.447,3.006666667,8.167666667,9.836,2.361,4.3645,0.6145,34.242,19.9495,4.004166667,8.589,24.03,42.03533333,0.586166667,14.66566667,33.01066667,44.34133333,0.251166667,9.613666667,35.732,41.00133333,3.457333333,12.61566667,29.53666667,32.20033333,1.8295,11.01616667,53.64533333,26.51966667,0.703833333,15.17566667,32.90166667,53.82866667,5.4035,6.813166667,37.17233333,9.545666667,0.5425,16.6305,31.28633333,47.16566667,5.163,21.33666667,17.5535,28.98433333,0.965666667,9.09,23.9575,37.342,2.563833333,24.24233333,32.13766667,36.04733333,2.129833333,26.377,23.236,30.627,0.560166667,22.521,26.66,42.23,1.840333333,16.9185,31.689,22.60133333,2.607333333,34.266
6,25.15166667,74.081,2.312325,23.25843333,28.05433333,45.29566667,5.6137,27.54743333,38.66733333,30.92633333,3.18,8.25463,38.121,42.353,1.143046667,5.277077333,44.659,28.54033333,0.883203333,4.576383687,45.855,43.442,1.432682,10.06423,37.79933333,70.26,6.197833333,6.349863333,41.21966667,45.327,1.22226,23.50486733,41.96733333,42.59633333,1.097596667,53.3179,20.25666667,45.53633333,9.85568,2.242133333,52.36766667,82.56866667,2.607866667,6.636893333,24.94666667,35.26966667,3.25342,10.84499,38.838,53.713,3.264166667,10.40816667,9.116266667,3.352943333,5.264333333,0.616103333,37.53733333,18.4673,8.7295,17.2514,34.18566667,51.32966667,0.922836667,13.98354667,41.41333333,54.05966667,0.33241,10.56451,39.23233333,54.72833333,4.637596667,19.39726,41.80766667,48.703,2.7288,12.83855667,55.11033333,37.83333333,0.63772,23.01200667,37.01666667,68.16966667,4.1279,8.100873333,37.45133333,10.05456667,1.207946667,22.13246667,34.832,41.318,3.464531333,24.92933333,27.76833333,43.11,1.372266667,9.7303,32.39236667,48.22966667,3.71127,46.919,35.83366667,30.935,1.763733333,28.97483,33.07033333,29.24,0.589779333,28.82539733,24.609,31.78333333,1.48895,22.78639,36.89933333,34.462,2.00675,33.9451
7,33.10033333,82.19266667,1.292601,25.87066167,53.619,56.61033333,5.486606667,20.25913333,49.207,40.3427,1.202723333,10.69776667,53.48633333,54.09733333,0.271236667,8.854684,46.40033333,38.76233333,0.510119,4.357433333,67.35733333,48.36833333,0.3424685,16.30649,68.915,68.67333333,4.9217,16.25974,67.98733333,70.00866667,0.749143333,21.121406,57.52833333,43.915,0.379506667,70.3191,31.01433333,48.268,4.584297333,3.325066667,71.841,70.33933333,1.491983333,8.285396667,31.251,60.499,2.18386,12.59037667,48.49243333,74.33533333,2.880966667,9.045233333,9.3817,4.271376667,4.382366667,0.387036667,52.69833333,25.12866667,4.285416667,12.21253333,52.63266667,68.40066667,0.274316667,14.61923467,58.84833333,53.72166667,0.296415,10.85023333,56.756,62.25966667,1.612984,27.40278333,56.19633333,62.15733333,0.739513333,12.74065,90.508,43.36266667,0.51444,24.51097333,47.56566667,76.01233333,2.037506667,13.02938333,47.769,13.39963333,0.87347,24.88006667,45.92433333,54.82033333,3.39963,30.907,37.784,43.90633333,3.021480247,7.672266667,35.91196667,56.31733333,0.498153333,29.67953333,44.39666667,41.22966667,2.05702,30.48638333,60.102,49.72266667,0.095804,21.44069133,32.83766667,59.10933333,2.291006667,33.859,64.45266667,49.42133333,3.27306,39.30693333
8,18.96266667,73.16133333,1.0305,12.77016667,16.09416667,24.76533333,6.224333333,13.32816667,23.1,22.13716667,1.063,3.63,36.887,32.429,0.4375,6.781166667,28.43166667,24.56416667,0.3205,2.781833333,31.246,30.026,0.478166667,13.40883333,30.163,47.50833333,3.674333333,3.800666667,37.43733333,37.03933333,0.594333333,9.618,28.347,26.23233333,0.301,33.0245,16.15866667,35.77,5.6945,0.586,37.179,44.33566667,1.710666667,4.139,16.80583333,33.24566667,2.426666667,7.761,26.08316667,34.228,1.8215,7.433666667,7.960833333,1.888,3.279833333,0.5265,29.37766667,16.51466667,4.556166667,6.273,18.256,38.829,0.220166667,12.7465,25.275,34.79966667,0.3225,7.395833333,32.24966667,35.472,2.193666667,10.49266667,25.83633333,27.517,0.922833333,8.314666667,52.27166667,22.267,0.302333333,13.70333333,25.43233333,46.936,4.787166667,5.2575,28.19533333,7.873666667,0.328,17.13133333,25.711,40.00433333,3.8705,17.7755,15.27666667,26.37333333,1.4435,6.962666667,17.84166667,32.91533333,0.898333333,20.35116667,23.508,28.3305,1.716666667,25.9565,20.225,26.103,0.234,20.5415,23.01433333,37.937,1.206166667,16.375,25.157,20.92466667,3.014833333,27.48733333
9,25.24566667,78.63633333,4.423083333,24.22125,24.99533333,49.90233333,7.3912,28.26353333,39.70333333,37.58,6.334733333,8.604333333,35.255,43.826,1.67885,5.500483333,42.853,30.671,1.964833333,6.038066667,39.139,46.63166667,1.557,10.74925,32.145,73.599,8.410933333,4.556233333,38.409,40.354,2.3973,31.82516667,38.40666667,44.784,1.94575,59.5396,18.65203333,53.27366667,11.40451667,3.316666667,47.78066667,92.168,4.6594,5.897983333,23.72333333,34.34033333,4.596066667,11.27858333,38.61,52.254,5.5424,11.198,9.293333333,4.251966667,9.009666667,1.162433333,36.34733333,20.73343333,13.1022,21.7485,37.648,57.12233333,2.0579,14.42443333,38.33066667,54.14766667,0.788016667,10.52316667,36.11766667,55.18933333,6.626416667,17.621,41.42433333,51.62266667,3.585533333,11.51183333,48.709,43.04966667,2.057183333,23.1545,35.37466667,67.98933333,7.368333333,8.507266667,38.63233333,11.53523333,1.696433333,19.799,33.795,46.708,6.670416667,26.24766667,27.81533333,49.534,1.694733333,12.10173333,32.64696667,47.62433333,8.6749,45.26556667,34.89866667,38.305,3.405066667,28.9693,30.70666667,30.77933333,1.410683333,30.43416667,19.85633333,33.44933333,2.083483333,23.887,34.42233333,32.36766667,3.4295,34.23033333
10,20.36233333,66.00433333,1.083063333,20.64500767,28.99133333,35.03133333,3.649246667,16.91811,34.205,32.39316667,2.3741,6.167733333,33.92466667,47.65566667,0.660253333,5.291923,34.82733333,25.58133333,0.942051333,3.723566667,46.57366667,38.7094,0.357961333,13.89492667,42.72233333,62.282,6.4825,8.792257667,34.945,41.10266667,0.86488,16.40481797,39.978,40.308,1.14822,44.85213333,17.70923333,42.80766667,5.019126667,2.159,47.97033333,57.578,1.550293333,8.435233333,22.345,41.01666667,3.505412333,10.59543667,31.80526667,55.924,2.760533333,9.461633333,10.0471,3.75218,3.919733333,0.241283333,30.916,17.67613333,6.40906,10.75483333,30.20166667,54.00233333,0.349999333,11.590541,35.11533333,43.81633333,0.312307,11.06365,34.74933333,48.84366667,2.781806667,18.34190667,35.376,47.94166667,1.702806667,11.00370333,50.37866667,33.41666667,0.397433333,19.48523333,35.212,63.115,3.045166667,5.157056667,30.47733333,10.42,1.070236667,22.9719,28.648,33.323,3.176679333,23.48123333,29.621,36.75966667,1.795366667,7.876766667,27.1812,44.913,1.37818,32.8347,30.938,33.00933333,1.467166667,23.30407667,36.965,31.69,0.244872833,21.0136436,23.08233333,36.27766667,1.195636667,21.374,37.62866667,30.25333333,1.953366667,23.25293333
