county,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121
1,-3.422366667,6.357866667,22.42533333,12.17516667,-1.063936667,8.6895,23.33733333,12.00443333,-2.87314,9.185133333,23.257,13.37046667,-7.292833333,7.83946,24.47266667,11.6948,-2.947266667,7.364343333,24.22866667,14.83546667,-1.9318,10.1198,24.50366667,13.51453333,-4.82033,5.738433333,22.91666667,12.80023333,-2.189133333,8.5578,23.48633333,13.2768,-0.94639,10.58746667,24.872,12.83903333,0.586936667,9.962933333,24.336,13.43873333,-0.612693333,9.166566667,23.67,13.24593333,-0.29839,8.22504,24.787,13.2916,0.244233333,9.9362,24.635,14.49476667,0.78271,10.95886667,24.59966667,13.9348,-2.993566667,11.5213,24.56,12.7381,0.337846667,12.3451,24.28733333,13.9688,-0.6351,10.66203333,23.98233333,14.61266667,0.3296975,10.1299,24.87533333,14.2799,1.235236667,10.84163333,24.21566667,14.05386667,-0.938966667,10.92133333,24.88233333,14.14126667,-1.281466667,12.16223333,25.51366667,13.5496,-0.17637,10.4089,24.63166667,14.5113,-4.163066667,13.36586667,25.263,13.81596667,1.2741,10.28846667,24.24466667,13.09376667,3.199066667,12.40823333,25.14566667,15.1587,-0.192163333,11.05896667,25.53733333,13.0068,0.628853667,10.89586667,24.98933333,14.0838,1.258263333,11.3518,25.495,13.9385,-1.043966667,11.8618,25.80033333,13.53396667,1.53797,12.2054,25.84033333,14.00996667
2,-1.686286667,7.203783333,23.24833333,12.74256667,0.322766667,9.955066667,24.155,12.41433333,-1.346833333,10.26256667,24.07466667,14.01966667,-6.246096667,8.979866667,25.63266667,13.85123333,-2.238133333,8.6985,25.35766667,15.62756667,-0.984256667,11.1184,25.383,14.376,-3.428533333,7.058566667,23.99466667,13.64123333,-1.248476667,9.864433333,24.62633333,13.67856667,0.366606667,11.73823333,25.72666667,13.50843333,1.217303333,11.05273333,25.38966667,14.296,0.194333333,10.07143333,24.603,13.9629,0.74716,9.706166667,25.90666667,14.11476667,0.788243333,11.02403333,25.56633333,15.29433333,1.752543333,12.0781,25.49033333,14.53656667,-1.229825667,13.01833333,25.50333333,13.3821,0.9923,13.58393333,25.23266667,14.89856667,0.353906667,11.86236667,25.15833333,15.43056667,1.336893333,11.12383333,25.79833333,14.9011,1.809557,11.94436667,25.34133333,14.827,-0.656933333,12.01586667,25.83433333,14.8159,-0.470066667,13.2971,26.35066667,14.4211,0.782833333,11.53303333,25.65933333,15.257,-3.9638,14.59333333,26.07566667,14.39866667,1.994446667,11.52766667,25.26833333,13.80133333,3.937466667,13.509,26.04133333,15.6221,-0.0864,12.1511,26.33733333,13.45133333,1.164343333,12.1016,25.708,14.5431,2.117716667,12.53076667,26.13933333,14.59023333,-0.409333333,12.95676667,26.668,14.1421,2.020953333,13.31086667,26.656,14.63166667
3,-2.9345,6.641633333,22.55166667,11.96416667,-0.426013333,9.052066667,23.296,11.76913333,-3.22268,9.242433333,23.178,13.31376667,-6.40838,8.528566667,24.99133333,13.29686667,-3.054166667,7.98277,24.645,14.9731,-2.5012,10.14723333,24.585,13.7524,-4.381442333,6.389766667,23.11266667,13.0924,-1.9922,9.085266667,23.875,13.0576,-0.5327,10.7779,24.92333333,12.89216667,0.59227,10.24043333,24.57833333,13.76353333,-0.599943333,9.133633333,23.92666667,13.45513333,0.25353,9.0971,25.25166667,13.58936667,-0.6935,10.16476667,24.80366667,14.7469,0.790526667,11.45013333,24.76033333,13.88873333,-2.23131,12.27786667,24.82566667,12.71666667,0.45787,12.9345,24.54633333,14.1726,-0.33557,11.0819,24.432,14.91683333,0.429916667,10.27236667,25.056,14.3303,0.89866,11.0897,24.56666667,14.28676667,-1.6176,11.0707,25.04133333,14.2581,-1.375866667,12.3072,25.64166667,13.67846667,-0.245613333,10.58796667,24.87233333,14.71733333,-4.540533333,13.68656667,25.261,13.78526667,1.431633333,10.7637,24.533,13.1133,3.289866667,12.49403333,25.29566667,15.10673333,-1.089166667,11.09393333,25.49766667,12.81753333,0.17937,11.1883,24.91866667,13.96233333,1.327274667,11.67163333,25.34066667,14.00983333,-1.0222,12.05656667,25.84166667,13.55173333,0.948866667,12.52223333,25.92766667,13.97153333
4,-5.503866667,6.150533333,22.22366667,12.06866667,-2.137023333,8.21672,23.01933333,12.22356667,-3.430159,8.846833333,23.17766667,13.19776667,-7.716266667,7.55499,23.93866667,9.871933333,-3.107433333,6.961455,23.73433333,14.38743333,-2.001966667,9.603,23.86,13.12223333,-5.895166667,5.277666667,22.40266667,12.26766667,-2.506466667,7.7672,22.782,12.9661,-2.628,9.754466667,24.26,12.1441,0.003796667,9.2701,23.50466667,12.9479,-0.75876,8.7657,22.85966667,12.858,-1.317793333,7.071713333,23.983,12.87533333,-0.109466667,9.1275,23.983,14.0641,-0.21738,9.8992,23.93733333,13.5341,-4.3293,10.7286,23.909,12.5121,-0.197963333,11.68426667,23.76133333,13.504,-1.436383333,10.15576667,23.28333333,14.1041,-0.264,9.461833333,24.42766667,13.8791,0.660133333,10.41663333,23.419,13.51766667,-0.757166667,10.5696,24.15333333,13.6759,-1.710866667,11.71033333,24.668,12.95333333,-1.16987,9.937333333,24.07033333,13.84156667,-3.44662,12.78043333,24.547,13.31943333,0.754233333,9.841333333,23.543,12.71476667,2.676433333,12.06163333,24.37933333,14.65433333,0.154323333,10.83366667,24.87766667,12.84556667,0.30537,10.24293333,24.23533333,13.71076667,0.957663333,10.8756,24.947,13.52133333,-0.4212,11.2884,25.15033333,13.12933333,1.385487,11.42406667,24.87466667,13.63243333
5,-0.743416667,8.286136667,23.76766667,13.47756667,1.865366667,11.33796667,24.58666667,13.3481,0.1535,11.68666667,24.768,14.92743333,-4.84099,10.78473333,26.43233333,14.7259,-1.0383,10.34073333,26.16266667,16.37833333,0.131333333,12.19763333,25.866,14.90233333,-1.842833333,8.512043333,24.64833333,14.42623333,0.150766667,10.934,25.16933333,14.4101,1.16065,12.67743333,26.35766667,13.80333333,2.298483333,11.87366667,25.79766667,15.0149,1.373533333,11.11306667,24.824,14.72943333,1.541033333,10.7214,26.404,14.77943333,1.934613333,12.08533333,25.874,15.85966667,2.6589,12.861,25.87166667,15.15533333,0.7347,14.51263333,25.87533333,14.04576667,2.26185,14.60396667,25.79766667,15.6449,1.6572,13.06106667,25.86033333,16.06556667,2.3956,12.1471,26.40166667,15.55033333,2.678173333,12.7863,25.90333333,15.32656667,0.683256667,13.14453333,26.32533333,15.5519,0.4853,14.3897,26.60366667,15.0971,1.329833333,12.56916667,26.01133333,15.68,-2.4326,15.563,26.25766667,14.95776667,2.743693333,12.50893333,25.68733333,14.4041,4.827766667,14.63733333,26.27333333,16.03323333,1.639136667,13.30783333,26.75466667,14.17923333,2.079133333,12.8935,25.742,15.12623333,3.225066667,13.29593333,26.543,15.2361,1.036307667,13.56856667,26.79733333,14.84166667,3.061533333,14.2125,26.64033333,14.92756667
6,-1.33379,8.942353333,24.54433333,13.83143333,1.465683333,11.4711,25.21266667,13.153,-1.483433333,11.65413333,25.15533333,14.9379,-4.142866667,11.59816667,27.301,15.33343333,-1.147433333,10.85883333,26.798,16.785,-0.806273333,12.59603333,26.51033333,15.687,-2.136233333,8.991733333,25.305,14.927,-0.11903,11.785,26.015,14.60476667,0.937693333,13.28326667,26.735,14.69056667,2.223016667,12.89803333,26.611,15.58823333,1.103533333,11.33186667,26.03033333,15.2911,2.2579,11.97583333,27.431,15.48856667,0.75198,12.63933333,26.892,16.45633333,2.58848,13.9223,26.77366667,15.5669,-0.077943333,15.11133333,26.87866667,14.39066667,1.95425,15.4962,26.515,15.982,1.568306667,13.69796667,26.63566667,16.97166667,2.089366667,12.5615,27.00833333,16.16633333,2.344623333,13.46733333,26.624,16.117,0.2881,13.5339,27.011,16.0551,0.2224,14.87266667,27.64366667,15.64133333,1.2336,13.00946667,26.96566667,16.54266667,-2.631966667,16.363,27.24233333,15.7301,3.25453,13.2394,26.46633333,15.08533333,5.1986,14.97833333,27.39566667,16.87033333,0.6987,13.63406667,27.50333333,14.4999,1.643853333,13.6931,26.913,15.95923333,3.02868,14.288,27.15533333,15.88843333,0.96782,14.64256667,27.892,15.377,2.69584,15.05083333,28.05766667,15.77543333
7,-5.763466667,5.1589,21.41333333,11.52733333,-3.126433333,6.7714,22.186,11.57256667,-4.591766667,7.49985,22.184,12.7031,-7.097466667,6.424213333,22.94666667,10.3355,-3.38172,6.129763333,22.93166667,14.07133333,-3.778533333,8.3519,23.165,12.67176667,-6.028533333,4.178733333,21.58633333,12.01956667,-3.070266667,6.535416,22.029,12.616,-3.462333333,8.959766667,23.457,12.0209,-0.645635,8.1875,23.06433333,12.5569,-2.295566667,7.413206667,22.27433333,12.53456667,-2.267676667,6.175,23.36766667,12.50666667,-1.600533333,8.017563333,23.21333333,13.875,-1.086833333,9.1637,23.416,13.264,-5.115333333,9.421033333,23.32533333,12.1429,-1.1267,10.5164,23.13466667,13.05223333,-2.826233333,8.889366667,22.53,13.73766667,-1.70977,8.314166667,23.44866667,13.35866667,-0.129763333,9.1346,22.68366667,13.11133333,-1.653633333,9.2305,23.44766667,13.28,-2.473966667,10.28796667,24.04166667,12.5979,-2.091586667,8.526633333,23.28366667,13.64143333,-4.755343333,11.42113333,23.98833333,13.09956667,-0.0818,8.500866667,22.94233333,12.2591,1.687733333,10.52216667,23.83433333,14.43433333,-1.386233333,9.162433333,24.191,12.38656667,-0.9432,8.924433333,23.79133333,13.424,-0.794766667,9.482933333,24.216,13.222,-1.988166667,10.07776667,24.48466667,12.83276667,0.038176667,10.3198,24.66066667,13.33656667
8,-1.82108,7.54318,23.60566667,13.40643333,0.91232,10.52013333,24.48466667,13.328,-0.5496,10.9866,24.645,14.79076667,-6.477606667,9.690833333,26.16433333,13.2429,-1.915333333,8.74755,25.79033333,16.178,0.00783,11.63446667,25.73266667,14.7301,-2.847366667,7.61117,24.38533333,14.12223333,-0.485786667,10.14206667,24.892,14.45033333,0.651626667,12.0075,26.33533333,13.606,2.02762,11.25543333,25.50166667,14.8071,1.323166667,10.67346667,24.634,14.566,1.12972,9.752033333,26.16866667,14.54423333,1.919106667,11.40936667,25.80933333,15.65166667,2.23668,12.22076667,25.69133333,15.05043333,-0.640053333,13.58943333,25.738,13.9591,1.88636,13.89866667,25.597,15.42433333,1.37827,12.31033333,25.50033333,15.9089,2.2114,11.7155,26.31666667,15.446,2.442286667,12.28916667,25.647,15.116,0.29898,12.5698,26.22733333,15.38476667,0.193133333,13.84173333,26.56033333,14.797,1.115633333,12.05266667,25.88033333,15.56643333,-2.502216667,15.036,26.16033333,14.75876667,2.529176667,11.8669,25.559,14.16543333,4.461433333,14.01433333,26.06633333,15.9771,1.762849333,12.82103333,26.61133333,14.20623333,2.007466667,12.31533333,25.64566667,15.065,2.9171,12.74403333,26.52766667,15.0629,0.719263333,13.13503333,26.67166667,14.61156667,3.056266667,13.6486,26.46766667,14.82233333
9,-1.776533333,7.882396667,23.00866667,12.79566667,1.01663,10.47686667,23.74033333,11.667,-1.7148,10.54913333,23.51966667,13.77176667,-3.900033333,10.94156667,26.06366667,14.332,-1.324133333,10.1861,25.28633333,15.859,-0.742073133,11.518,24.98666667,14.68656667,-2.190666667,8.02127,23.66366667,13.9619,-0.686023667,11.1036,24.48666667,13.32733333,0.330526667,12.2933,24.81766667,13.50956667,1.568376667,12.0064,25.036,14.513,0.587686667,10.0405,24.44466667,14.3131,1.72793,11.36783333,26.018,14.502,0.308833333,11.82456667,25.49666667,15.41266667,2.313656667,12.96526667,25.29366667,14.33033333,0.023933333,14.37423333,25.483,13.21433333,1.354133333,14.583,24.82366667,14.8959,0.763126667,12.5524,25.266,16.25723333,1.516566667,11.31826667,25.28166667,15.23843333,1.704543333,12.3223,25.201,15.0501,0.7109,12.6201,25.361,15.02123333,0.115433333,13.95856667,26.21833333,14.714,0.732633333,11.98416667,25.29233333,15.56043333,-2.891066667,15.69833333,25.67766667,14.82076667,2.603709667,12.10696667,24.69833333,14.14366667,4.753866667,13.80293333,26.105,16.0001,0.491733333,12.75753333,25.94533333,13.2239,0.659516667,12.6136,25.523,15.16823333,2.339403333,13.3677,25.332,15.0039,1.23784,13.80033333,26.516,14.3081,2.397683333,14.1836,26.69333333,14.74533333
10,-2.4696,7.235083333,23.513,12.7271,-0.377513333,9.429566667,24.27033333,12.56823333,-3.281406667,9.658866667,24.04833333,13.94566667,-6.913476667,8.625933333,25.77933333,13.37023333,-2.989533333,8.2788,25.37,15.4549,-1.849576667,10.87236667,25.64566667,14.368,-4.316963333,6.953233333,24.06133333,13.66376667,-1.447856667,9.781833333,24.764,14.03923333,0.014163333,11.3577,26.01266667,13.65243333,1.149589333,10.88933333,25.55933333,14.35176667,0.239833333,10.0688,25.09766667,14.24023333,0.782522,9.6246,26.26666667,14.10576667,0.084433333,10.8779,25.983,15.3699,1.044496667,12.22823333,25.79933333,14.58133333,-1.73275,12.76723333,25.82866667,13.404,1.378266667,13.47576667,25.55466667,14.65656667,0.075803333,11.6919,25.236,15.50543333,0.83768,11.1956,26.1,15.009,1.640406667,11.68566667,25.491,14.88356667,-1.2284,11.7667,26.07233333,14.8841,-0.7091,12.95986667,26.81966667,14.13933333,0.259333333,11.2906,25.911,15.36243333,-4.241833333,14.25766667,26.29766667,14.4901,1.964616667,11.2597,25.52433333,13.71943333,3.628333333,13.03943333,26.278,15.83933333,-0.16683,11.7407,26.45433333,13.60856667,0.907,11.5586,26.00033333,14.834,1.77371,12.21826667,26.41733333,14.6021,-0.797,12.59453333,26.833,14.27823333,1.590433333,13.21123333,26.997,14.5659
